GEO,Sex,Age group,Disability type,Global Severity,Labour force status,UOM,VALUE,STATUS
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Total labour force,Number,650.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Employed,Number,150.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Not in labour force,Number,440.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Participation rate,Percent,30.2,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Age standardized participation rate,Percent,29.4,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Employment Rate,Percent,23.8,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Age standardized employment rate,Percent,23.6,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Total labour force,Number,440.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Not in labour force,Number,320.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Participation rate,Percent,23.8,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Age standardized participation rate,Percent,23.9,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Severe,Not in labour force,Number,100.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Very Severe,Total labour force,Number,200.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Very Severe,Not in labour force,Number,140.0,E
Newfoundland and Labrador,Males,15 to 24 years,Mobility,Very Severe,Total labour force,Number,110.0,E
Newfoundland and Labrador,Males,15 to 24 years,Flexibility,Very Severe,Total labour force,Number,90.0,E
Newfoundland and Labrador,Males,15 to 24 years,Dexterity,Very Severe,Total labour force,Number,70.0,E
Newfoundland and Labrador,Males,15 to 24 years,Pain,Mild,Total labour force,Number,170.0,E
Newfoundland and Labrador,Males,15 to 24 years,Learning,Mild,Total labour force,Number,250.0,E
Newfoundland and Labrador,Males,15 to 24 years,Learning,Moderate,Total labour force,Number,170.0,E
Newfoundland and Labrador,Males,15 to 24 years,Learning,Very Severe,Total labour force,Number,170.0,E
Newfoundland and Labrador,Males,15 to 24 years,Memory,Very Severe,Total labour force,Number,140.0,E
Newfoundland and Labrador,Males,15 to 24 years,Developmental,Mild,Total labour force,Number,50.0,E
Newfoundland and Labrador,Males,15 to 24 years,Developmental,Severe,Total labour force,Number,80.0,E
Newfoundland and Labrador,Males,15 to 24 years,Developmental,Very Severe,Total labour force,Number,160.0,E
Newfoundland and Labrador,Males,15 to 24 years,Mental and/or psychological,Very Severe,Total labour force,Number,100.0,E
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Total labour force,Number,1070.0,E
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Employed,Number,720.0,E
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Participation rate,Percent,96.2,
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Age standardized participation rate,Percent,96.7,
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Employment Rate,Percent,69.2,E
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Age standardized employment rate,Percent,69.8,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Total labour force,Number,1260.0,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Employed,Number,920.0,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Participation rate,Percent,82.9,
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Age standardized participation rate,Percent,83.6,
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Employment Rate,Percent,74.8,
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Age standardized employment rate,Percent,75.2,
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Total labour force,Number,550.0,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Participation rate,Percent,81.8,
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Age standardized participation rate,Percent,81.6,
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Employment Rate,Percent,43.6,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Age standardized employment rate,Percent,43.3,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Severe,Not in labour force,Number,90.0,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Very Severe,Total labour force,Number,530.0,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Very Severe,Not in labour force,Number,340.0,E
Newfoundland and Labrador,Males,35 to 44 years,Mobility,Very Severe,Total labour force,Number,290.0,E
Newfoundland and Labrador,Males,35 to 44 years,Mobility,Very Severe,Not in labour force,Number,160.0,E
Newfoundland and Labrador,Males,35 to 44 years,Flexibility,Very Severe,Total labour force,Number,440.0,E
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Participation rate,Percent,95.2,
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Age standardized participation rate,Percent,95.3,
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Employment Rate,Percent,90.5,
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Age standardized employment rate,Percent,90.8,
Newfoundland and Labrador,Males,35 to 44 years,Pain,Moderate,Participation rate,Percent,74.2,E
Newfoundland and Labrador,Males,35 to 44 years,Pain,Moderate,Age standardized participation rate,Percent,74.4,E
Newfoundland and Labrador,Males,35 to 44 years,Pain,Very Severe,Total labour force,Number,370.0,E
Newfoundland and Labrador,Males,35 to 44 years,Learning,Very Severe,Total labour force,Number,340.0,E
Newfoundland and Labrador,Males,35 to 44 years,Mental and/or psychological,Very Severe,Total labour force,Number,380.0,E
